iter	RMSE
0	10.06564796
1	9.865355418
2	9.694854161
3	9.546612948
4	9.426961843
5	9.327897238
6	9.225433162
7	9.139644146
8	9.069586439
9	9.014571259
10	8.968424487
11	8.924994877
12	8.886538891
13	8.857096146
14	8.82809546
15	8.804385464
16	8.781514055
17	8.762409292
18	8.743258165
19	8.727042308
20	8.70934874
21	8.69447712
22	8.679426986
23	8.667564673
24	8.656436
25	8.647195074
26	8.639922179
27	8.630769517
28	8.621089198
29	8.6195161
30	8.614151727
31	8.613226739
32	8.611992279
33	8.611324122
34	8.600915273
35	8.595133041
36	8.579034844
37	8.569965992
38	8.559144595
39	8.55423401
40	8.548701572
41	8.540737974
42	8.539868426
43	8.535669299
44	8.531518322
45	8.525904302
46	8.522767477
47	8.519415073
48	8.517168581
49	8.509657591
50	8.507498375
51	8.503742077
52	8.493775823
53	8.489954677
54	8.4843539
55	8.481004673
56	8.472382303
57	8.472087887
58	8.470962963
59	8.467781709
60	8.46752864
61	8.462807019
62	8.457834448
63	8.456506503
64	8.456070795
65	8.452760378
66	8.452229345
67	8.447977105
68	8.447117883
69	8.442462082
70	8.441656248
71	8.438609254
72	8.435180414
73	8.432400811
74	8.431409024
75	8.427802449
76	8.427097023
77	8.426437309
78	8.421067638
79	8.419305849
80	8.415837455
81	8.415693829
82	8.415603334
83	8.409590081
84	8.406288107
85	8.402879975
86	8.398889787
87	8.398803172
88	8.398088748
89	8.394495191
90	8.388665009
91	8.383014078
92	8.381382005
93	8.381298723
94	8.379702848
95	8.377027402
96	8.376714229
97	8.373463648
98	8.373019196
99	8.361640937
100	8.358816783
101	8.358551365
102	8.356940393
103	8.3561165
104	8.351886163
105	8.345917709
106	8.344035403
107	8.343122042
108	8.343068566
109	8.341195035
110	8.340878255
111	8.339872984
112	8.338747455
113	8.331035069
114	8.328191783
115	8.328028215
116	8.327997871
117	8.325640793
118	8.319786724
119	8.319376679
120	8.316668742
121	8.3164307
122	8.314789757
123	8.311269366
124	8.310268184
125	8.306854891
126	8.306031024
127	8.303747542
128	8.303241296
129	8.299769236
130	8.299377812
131	8.298361002
132	8.298344212
133	8.295371605
134	8.290863115
135	8.287547776
136	8.287458757
137	8.284537852
138	8.281122248
139	8.277549974
140	8.2753136
141	8.274861418
142	8.270602645
143	8.267834916
144	8.265629972
145	8.263966531
146	8.263375742
147	8.26164717
148	8.261044356
149	8.257597902
150	8.255619327
151	8.255420738
152	8.252218574
153	8.251501389
154	8.249239548
155	8.247157871
156	8.244543944
157	8.242483222
158	8.240763434
159	8.238882197
160	8.235907811
161	8.233749371
162	8.231125927
163	8.230733648
164	8.229258076
165	8.228520292
166	8.22672158
167	8.224597982
168	8.224114294
169	8.221993578
170	8.221598039
171	8.221243236
172	8.218182361
173	8.216313217
174	8.212825545
175	8.210851032
176	8.208484594
177	8.206307567
178	8.204215313
179	8.202753378
180	8.20114867
181	8.199074325
182	8.198345614
183	8.196663072
184	8.193559035
185	8.191893471
186	8.189200653
187	8.187048488
188	8.1846568
189	8.182696324
190	8.178782797
191	8.175637577
192	8.173428564
193	8.173022284
194	8.169866076
195	8.169133515
196	8.168918358
197	8.167813407
198	8.167633411
199	8.165270989
200	8.162725607
201	8.160647312
202	8.159338753
203	8.159216235
204	8.158107931
205	8.155819665
206	8.153928298
207	8.153115217
208	8.150132468
209	8.148361882
210	8.148089051
211	8.147971915
212	8.142961739
213	8.142746672
214	8.141730169
215	8.140707367
216	8.138565544
217	8.137914235
218	8.135731175
219	8.13562161
220	8.134673114
221	8.133570143
222	8.132224665
223	8.131655213
224	8.129243815
225	8.126321286
226	8.12540744
227	8.12436709
228	8.122907321
229	8.120375933
230	8.119369715
231	8.119278907
232	8.118972393
233	8.11694041
234	8.11673616
235	8.112335042
236	8.110171037
237	8.108240875
238	8.106613568
239	8.105491556
240	8.103857828
241	8.103622702
242	8.102384314
243	8.101990427
244	8.100521264
245	8.098880154
246	8.098048409
247	8.097295638
248	8.096318385
249	8.095370589
250	8.094154671
251	8.090020921
252	8.0891535
253	8.088991999
254	8.088087137
255	8.087161372
256	8.086004658
257	8.085185888
258	8.084770891
259	8.083754854
260	8.082667032
261	8.082512401
262	8.082385536
263	8.082337172
264	8.081878865
265	8.081460737
266	8.081074518
267	8.080492433
268	8.079622743
269	8.079040829
270	8.07794699
271	8.077845647
272	8.077615221
273	8.075229592
274	8.073027319
275	8.070409384
276	8.06963794
277	8.067629824
278	8.066315352
279	8.065535851
280	8.065408468
281	8.06457867
282	8.063624356
283	8.062295295
284	8.060110579
285	8.058790969
286	8.058032077
287	8.057951878
288	8.056628226
289	8.052957227
290	8.051177422
291	8.049673022
292	8.048939585
293	8.048659864
294	8.048608502
295	8.046986036
296	8.045791452
297	8.044844662
298	8.044538729
299	8.043643569
300	8.043571818
301	8.040416838
302	8.040314684
303	8.040130156
304	8.040024313
305	8.038340664
306	8.035762305
307	8.034636727
308	8.033740997
309	8.033204404
310	8.032454991
311	8.030601639
312	8.030298303
313	8.02998669
314	8.028549015
315	8.027144512
316	8.026987524
317	8.026293996
318	8.026235712
319	8.025762741
320	8.024939873
321	8.023019606
322	8.02283414
323	8.022590653
324	8.022506782
325	8.021823403
326	8.020278247
327	8.019546363
328	8.017787754
329	8.015004158
330	8.011273101
331	8.010941634
332	8.01067742
333	8.009051534
334	8.007853942
335	8.001801098
336	8.001020551
337	8.000775755
338	7.996922544
339	7.994566776
340	7.993617145
341	7.992820358
342	7.9903242
343	7.989424398
344	7.989086684
345	7.989012261
346	7.987721217
347	7.985694961
348	7.984414186
349	7.983896734
350	7.983520286
351	7.98340968
352	7.981298286
353	7.981042205
354	7.980486028
355	7.979601544
356	7.978310705
357	7.977649528
358	7.977166249
359	7.976430511
360	7.975276222
361	7.974418875
362	7.974360724
363	7.974309091
364	7.973222425
365	7.972247856
366	7.972146082
367	7.971197799
368	7.970592973
369	7.969800102
370	7.969704169
371	7.967124646
372	7.966744858
373	7.965998242
374	7.965492592
375	7.964499821
376	7.963339591
377	7.962888524
378	7.962069886
379	7.960869865
380	7.958851548
381	7.958597061
382	7.957200532
383	7.956636143
384	7.954465085
385	7.954384545
386	7.953171805
387	7.952540189
388	7.950737505
389	7.949915537
390	7.949880506
391	7.94865816
392	7.947894499
393	7.946895416
394	7.946721879
395	7.945930206
396	7.945890539
397	7.945095059
398	7.943153407
399	7.942211162
400	7.940829161
401	7.940389343
402	7.940115439
403	7.939608122
404	7.938903336
405	7.93757483
406	7.936882029
407	7.93652239
408	7.936303311
409	7.936020086
410	7.934371962
411	7.934127529
412	7.93359326
413	7.932594497
414	7.932206478
415	7.930525152
416	7.929691039
417	7.928409623
418	7.925569505
419	7.92435153
420	7.923280691
421	7.922603902
422	7.922422206
423	7.920892373
424	7.919362815
425	7.919260899
426	7.918655172
427	7.91675711
428	7.915591843
429	7.914860175
430	7.913505453
431	7.909055197
432	7.907927367
433	7.907398977
434	7.907274922
435	7.906381384
436	7.906254909
437	7.906221436
438	7.905986398
439	7.905055308
440	7.904475329
441	7.90269607
442	7.902623643
443	7.901358853
444	7.900906216
445	7.900201679
446	7.899182114
447	7.898143473
448	7.897558527
449	7.895249913
450	7.893741529
451	7.892769553
452	7.892718218
453	7.89176462
454	7.890145593
455	7.889676413
456	7.889462385
457	7.888775983
458	7.887738638
459	7.887110626
460	7.886617088
461	7.886448317
462	7.886371814
463	7.885890071
464	7.885424605
465	7.882594856
466	7.882474874
467	7.882248784
468	7.881465699
469	7.880809917
470	7.879234619
471	7.879176363
472	7.87829695
473	7.877402504
474	7.876621953
475	7.876374908
476	7.876035277
477	7.874371381
478	7.873619735
479	7.87125094
480	7.870682239
481	7.869552979
482	7.868182101
483	7.864776658
484	7.864309381
485	7.859853778
486	7.859519921
487	7.858650596
488	7.857481259
489	7.856357389
490	7.855582687
491	7.853904805
492	7.853246936
493	7.852300733
494	7.8519493
495	7.84998403
496	7.848242238
497	7.847544685
498	7.846220182
499	7.844602534
500	7.844364984
501	7.843869069
502	7.843604102
503	7.843400467
504	7.842290705
505	7.841140986
506	7.840437728
507	7.838194071
508	7.8375515
509	7.837017421
510	7.835952515
511	7.835513394
512	7.835028316
513	7.834250387
514	7.83391672
515	7.833757918
516	7.832712626
517	7.832566633
518	7.832236099
519	7.830813715
520	7.830607997
521	7.830517255
522	7.830449423
523	7.830137545
524	7.829717809
525	7.829690052
526	7.826379379
527	7.824682281
528	7.824069869
529	7.823669669
530	7.823598054
531	7.823493291
532	7.822993939
533	7.822232989
534	7.821577081
535	7.821274777
536	7.821024286
537	7.820016861
538	7.818828501
539	7.818661058
540	7.817004813
541	7.81621241
542	7.81584945
543	7.815005151
544	7.81380372
545	7.813660176
546	7.813481805
547	7.812722008
548	7.812610125
549	7.812400366
550	7.812092372
551	7.811750676
552	7.811065136
553	7.810559904
554	7.810198362
555	7.809605041
556	7.808238507
557	7.807463844
558	7.806921721
559	7.80482085
560	7.803779594
561	7.803328655
562	7.803229194
563	7.803094712
564	7.802934783
565	7.802771162
566	7.802180629
567	7.801553095
568	7.800662881
569	7.800483795
570	7.800220244
571	7.799160456
572	7.798651265
573	7.798246286
574	7.797568593
575	7.797270315
576	7.797126961
577	7.797103917
578	7.796496151
579	7.793480409
580	7.790741293
581	7.790361595
582	7.790293724
583	7.789309646
584	7.788955305
585	7.787829487
586	7.787601976
587	7.787446902
588	7.786643157
589	7.78585577
590	7.785548473
591	7.784885538
592	7.784464525
593	7.783090561
594	7.782785823
595	7.781729208
596	7.780743264
597	7.779710637
598	7.779070465
599	7.778462547
600	7.778218818
601	7.777005659
602	7.77664893
603	7.776488118
604	7.775855371
605	7.774674404
606	7.774290853
607	7.772980226
608	7.768714621
609	7.768656643
610	7.767930922
611	7.767517125
612	7.766854487
613	7.764546207
614	7.764217678
615	7.764185879
616	7.763868852
617	7.763859874
618	7.763698564
619	7.763175001
620	7.762874221
621	7.762809091
622	7.762426813
623	7.760956455
624	7.759696239
625	7.759301579
626	7.759017233
627	7.758964484
628	7.758813541
629	7.75839445
630	7.756303323
631	7.756282426
632	7.755267758
633	7.754862957
634	7.754532696
635	7.754329854
636	7.753635429
637	7.749979473
638	7.749513421
639	7.749419073
640	7.748886251
641	7.748558947
642	7.747432421
643	7.746970368
644	7.746186041
645	7.74531834
646	7.744424938
647	7.744094212
648	7.744015699
649	7.743619625
650	7.742195206
651	7.741867948
652	7.741735372
653	7.740715047
654	7.739446648
655	7.739421733
656	7.738628085
657	7.738093855
658	7.736649374
659	7.736422898
660	7.736187683
661	7.736137205
662	7.73543152
663	7.734761444
664	7.734122514
665	7.733891242
666	7.732722043
667	7.732464193
668	7.730759879
669	7.727942778
670	7.727903283
671	7.727338046
672	7.727257798
673	7.726393304
674	7.726126524
675	7.725757692
676	7.725447117
677	7.725335386
678	7.723954046
679	7.723803116
680	7.723141827
681	7.722270572
682	7.721971388
683	7.720966394
684	7.720333082
685	7.719865473
686	7.719846581
687	7.719620382
688	7.719114885
689	7.719048642
690	7.718380776
691	7.718236866
692	7.717703418
693	7.716982807
694	7.716624347
695	7.716304343
696	7.715459219
697	7.715356013
698	7.714502925
699	7.714230498
700	7.714044471
701	7.713276874
702	7.71302451
703	7.713007294
704	7.712110576
705	7.712032019
706	7.711591578
707	7.711493635
708	7.711038377
709	7.709882715
710	7.709848828
711	7.709245821
712	7.70776676
713	7.707117022
714	7.707098849
715	7.703814751
716	7.703717526
717	7.70333763
718	7.703052482
