iter	Passed	Remaining
0	203	203587
1	261	130677
2	301	100032
3	334	83357
4	370	73649
5	423	70185
6	464	65830
7	508	63078
8	543	59811
9	578	57265
10	620	55811
11	652	53755
12	690	52388
13	730	51448
14	786	51657
15	829	51015
16	881	50965
17	924	50434
18	966	49910
19	1002	49132
20	1047	48835
21	1089	48454
22	1128	47930
23	1176	47855
24	1237	48266
25	1276	47825
26	1321	47638
27	1357	47132
28	1400	46894
29	1420	45939
30	1473	46043
31	1507	45602
32	1532	44912
33	1549	44012
34	1601	44152
35	1653	44290
36	1709	44492
37	1751	44349
38	1794	44214
39	1836	44069
40	1880	43979
41	1930	44023
42	1971	43884
43	2018	43862
44	2049	43487
45	2088	43323
46	2123	43056
47	2170	43042
48	2219	43075
49	2263	43013
50	2309	42968
51	2342	42704
52	2383	42590
53	2435	42669
54	2478	42584
55	2519	42470
56	2562	42394
57	2587	42017
58	2630	41961
59	2669	41819
60	2691	41435
61	2746	41558
62	2798	41626
63	2834	41449
64	2850	41001
65	2892	40935
66	2929	40789
67	2963	40615
68	3026	40838
69	3073	40831
70	3094	40487
71	3131	40364
72	3171	40273
73	3216	40245
74	3273	40371
75	3324	40421
76	3351	40175
77	3377	39920
78	3427	39959
79	3458	39767
80	3491	39608
81	3507	39264
82	3532	39025
83	3563	38856
84	3608	38846
85	3638	38672
86	3677	38590
87	3707	38419
88	3745	38342
89	3802	38449
90	3859	38549
91	3916	38650
92	3955	38576
93	4006	38619
94	4055	38635
95	4108	38686
96	4134	38491
97	4188	38553
98	4223	38434
99	4280	38522
100	4327	38517
101	4379	38559
102	4426	38550
103	4470	38517
104	4524	38565
105	4581	38636
106	4629	38637
107	4698	38810
108	4728	38650
109	4777	38658
110	4827	38666
111	4873	38643
112	4908	38529
113	4964	38587
114	5017	38610
115	5061	38569
116	5086	38388
117	5140	38424
118	5191	38432
119	5233	38379
120	5276	38333
121	5315	38255
122	5356	38191
123	5399	38147
124	5457	38201
125	5505	38192
126	5559	38218
127	5606	38192
128	5639	38075
129	5697	38132
130	5729	38009
131	5774	37972
132	5790	37747
133	5845	37775
134	5893	37761
135	5949	37795
136	5989	37728
137	6045	37761
138	6096	37762
139	6132	37668
140	6179	37648
141	6214	37547
142	6254	37482
143	6305	37483
144	6346	37422
145	6388	37367
146	6431	37322
147	6485	37335
148	6521	37247
149	6561	37182
150	6615	37195
151	6659	37151
152	6712	37158
153	6753	37103
154	6810	37127
155	6855	37089
156	6910	37106
157	6964	37112
158	7021	37141
159	7073	37135
160	7112	37062
161	7147	36973
162	7197	36956
163	7242	36919
164	7288	36885
165	7330	36830
166	7382	36822
167	7422	36760
168	7472	36745
169	7523	36731
170	7569	36694
171	7611	36640
172	7665	36641
173	7713	36616
174	7760	36583
175	7801	36525
176	7837	36444
177	7872	36355
178	7908	36273
179	7954	36237
180	8004	36218
181	8053	36195
182	8104	36184
183	8152	36154
184	8204	36144
185	8251	36113
186	8321	36180
187	8373	36167
188	8416	36114
189	8470	36110
190	8513	36061
191	8563	36035
192	8605	35984
193	8656	35963
194	8719	35997
195	8763	35947
196	8798	35864
197	8852	35855
198	8882	35752
199	8931	35727
200	8978	35692
201	9033	35686
202	9094	35704
203	9130	35625
204	9178	35595
205	9232	35585
206	9275	35534
207	9332	35535
208	9376	35486
209	9427	35463
210	9466	35398
211	9505	35331
212	9555	35305
213	9584	35202
